#ZVView-data-copy:  30-Mar-2021 14:57:17
#=======================================
#
#name:   ENDF/B-VIII.0: HE-3(HE3,2P)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  50
#data...
#            X            Y
#          MeV        barns
         0.001            0 
         0.051  1.16638e-11 
         0.101   3.94521e-8 
         0.151   1.34932e-6 
         0.201   1.06277e-5 
         0.251   4.23056e-5 
         0.301  0.000115108 
         0.351  0.000247135 
         0.401  0.000452658 
         0.451  0.000740947 
         0.501   0.00111641 
         0.551   0.00157936 
         0.601   0.00212699 
         0.651   0.00275425 
         0.701   0.00345468 
         0.751     0.004221 
         0.801   0.00504557 
         0.851   0.00592074 
         0.901    0.0068391 
         0.951   0.00779365 
         1.001   0.00877783 
         1.101    0.0108117 
         1.351    0.0160631 
         1.551    0.0202278 
         1.701    0.0232551 
         1.901    0.0271275 
         2.101    0.0308096 
         2.351    0.0351793 
         2.751    0.0418156 
         3.351    0.0516646 
         3.701    0.0577524 
         4.001    0.0633548 
         4.301    0.0694157 
         4.601    0.0760157 
         4.901    0.0832208 
         5.201     0.091084 
         5.501    0.0996471 
         5.601     0.102497 
         6.101     0.106277 
         6.651     0.109665 
         7.301     0.112816 
         8.051     0.115529 
         8.901      0.11767 
         9.901     0.119225 
        11.101     0.120087 
        11.851     0.120215 
        13.501     0.119711 
        15.701     0.117955 
        19.051     0.114092 
            20     0.112871 
//
#-------------------------------------------------------------------------------
