# This file produced from the IAEA-NDS ENDF servlet (tabulated cross section, pointwise output, Lin-Lin interpolation).
#LIBRARY    ENDF/B-VI
#REACTION   HE-3(D,P)HE-4,SIG
#NUCLEUS    He-3
#MF         3
#MT         103
#EN-MIN     1187.5
#EN-MAX     3e+07
#E,eV        Sig,b
1.18750e-03 0
1.25000e-03 2.73184E-31
1.25210e-03 2.9152E-31
1.25510e-03 3.19778E-31
1.25810e-03 3.50657E-31
1.26110e-03 3.84391E-31
1.26410e-03 4.21231E-31
1.26710e-03 4.61451E-31
1.27010e-03 5.05346E-31
1.27310e-03 5.53237E-31
1.27610e-03 6.05472E-31
1.27910e-03 6.62426E-31
1.28210e-03 7.24507E-31
1.28510e-03 7.92155E-31
1.28810e-03 8.65847E-31
1.29110e-03 9.46098E-31
1.29410e-03 1.03346E-30
1.29710e-03 1.12855E-30
1.30010e-03 1.23201E-30
1.30310e-03 1.34453E-30
1.30610e-03 1.4669E-30
1.30910e-03 1.59991E-30
1.31210e-03 1.74446E-30
1.31510e-03 1.9015E-30
1.31810e-03 2.07207E-30
1.32110e-03 2.25727E-30
1.32410e-03 2.4583E-30
1.32710e-03 2.67645E-30
1.33010e-03 2.91311E-30
1.33310e-03 3.16978E-30
1.33610e-03 3.44808E-30
1.33910e-03 3.74975E-30
1.34210e-03 4.07664E-30
1.34510e-03 4.43079E-30
1.34810e-03 4.81435E-30
1.35110e-03 5.22965E-30
1.35410e-03 5.6792E-30
1.35710e-03 6.16569E-30
1.36010e-03 6.69203E-30
1.36310e-03 7.2613E-30
1.36610e-03 7.87687E-30
1.36910e-03 8.54231E-30
1.37210e-03 9.26148E-30
1.37510e-03 1.00385E-29
1.37810e-03 1.08778E-29
1.38110e-03 1.17842E-29
1.38410e-03 1.27628E-29
1.38710e-03 1.38191E-29
1.39010e-03 1.49588E-29
1.39310e-03 1.61884E-29
1.39610e-03 1.75145E-29
1.39910e-03 1.89445E-29
1.40210e-03 2.0486E-29
1.40510e-03 2.21473E-29
1.40810e-03 2.39373E-29
1.41110e-03 2.58655E-29
1.41410e-03 2.7942E-29
1.41710e-03 3.01778E-29
1.42010e-03 3.25845E-29
1.42310e-03 3.51745E-29
1.42610e-03 3.79611E-29
1.42910e-03 4.09585E-29
1.43210e-03 4.4182E-29
1.43510e-03 4.76477E-29
1.43810e-03 5.1373E-29
1.44110e-03 5.53764E-29
1.44410e-03 5.96778E-29
1.44710e-03 6.42981E-29
1.45010e-03 6.92599E-29
1.45310e-03 7.45873E-29
1.45610e-03 8.0306E-29
1.45910e-03 8.64432E-29
1.46210e-03 9.3028E-29
1.46510e-03 1.00091E-28
1.46810e-03 1.07667E-28
1.47110e-03 1.1579E-28
1.47410e-03 1.24498E-28
1.47710e-03 1.33831E-28
1.48010e-03 1.43831E-28
1.48310e-03 1.54545E-28
1.48610e-03 1.66021E-28
1.48910e-03 1.78309E-28
1.49210e-03 1.91465E-28
1.49510e-03 2.05548E-28
1.49810e-03 2.20619E-28
1.50110e-03 2.36744E-28
1.50410e-03 2.53994E-28
1.50710e-03 2.72442E-28
1.51010e-03 2.9217E-28
1.51310e-03 3.13259E-28
1.51610e-03 3.35801E-28
1.51910e-03 3.5989E-28
1.52210e-03 3.85628E-28
1.52510e-03 4.13121E-28
1.52810e-03 4.42483E-28
1.53210e-03 4.84751E-28
1.53610e-03 5.30865E-28
1.54010e-03 5.81159E-28
1.54410e-03 6.35991E-28
1.54810e-03 6.95751E-28
1.55210e-03 7.60859E-28
1.55610e-03 8.31771E-28
1.56010e-03 9.08976E-28
1.56410e-03 9.93006E-28
1.56810e-03 1.08443E-27
1.57210e-03 1.18387E-27
1.57610e-03 1.292E-27
1.58010e-03 1.40953E-27
1.58410e-03 1.53724E-27
1.58810e-03 1.67596E-27
1.59210e-03 1.8266E-27
1.59610e-03 1.99013E-27
1.60010e-03 2.1676E-27
1.60410e-03 2.36013E-27
1.60810e-03 2.56894E-27
1.61210e-03 2.79533E-27
1.61610e-03 3.0407E-27
1.62010e-03 3.30658E-27
1.62410e-03 3.59458E-27
1.62810e-03 3.90645E-27
1.63210e-03 4.24406E-27
1.63610e-03 4.60944E-27
1.64010e-03 5.00474E-27
1.64410e-03 5.4323E-27
1.64810e-03 5.8946E-27
1.65210e-03 6.39434E-27
1.65610e-03 6.93437E-27
1.66010e-03 7.51778E-27
1.66410e-03 8.14788E-27
1.66810e-03 8.82821E-27
1.67210e-03 9.56257E-27
1.67610e-03 1.0355E-26
1.68010e-03 1.12099E-26
1.68410e-03 1.21319E-26
1.68810e-03 1.3126E-26
1.69210e-03 1.41976E-26
1.69610e-03 1.53523E-26
1.70010e-03 1.65963E-26
1.70410e-03 1.79362E-26
1.70810e-03 1.93789E-26
