#ZVView-data-copy:   9-Jul-2018 12:59:22
#=======================================
#
#name:   ENDF/B-VIII.0: H-2(D,P`)H-3-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  250
#data...
#            X            Y
#          MeV        barns
        0.0001            0
        0.0001            0
        0.0002  4.21875e-41
        0.0004  8.98998e-29
        0.0008  3.83011e-20
         0.001   5.7871e-18
         0.002  1.29576e-12
    0.00237841  1.47767e-11
    0.00270851  7.94797e-11
    0.00274171  9.25057e-11
    0.00275794  9.95266e-11
    0.00277401  1.06934e-10
    0.00278992  1.14738e-10
    0.00280567   1.2295e-10
    0.00282126  1.31581e-10
    0.00284432  1.45316e-10
    0.00286708  1.60086e-10
    0.00288943  1.75845e-10
    0.00291148  1.92706e-10
    0.00293312  2.10606e-10
    0.00295447  2.29666e-10
    0.00297541  2.49807e-10
    0.00299607  2.71157e-10
    0.00301632  2.93619e-10
    0.00303629  3.17328e-10
    0.00305587   3.4217e-10
    0.00307516  3.68286e-10
    0.00310053  4.05254e-10
    0.00312531   4.4442e-10
     0.0031495  4.85784e-10
    0.00317312  5.29336e-10
    0.00319617  5.75055e-10
    0.00321865  6.22915e-10
    0.00324059   6.7288e-10
    0.00326198  7.24905e-10
    0.00328284  7.78939e-10
    0.00330317  8.34924e-10
    0.00333263   9.2218e-10
    0.00336111   1.01391e-9
    0.00338835   1.10888e-9
    0.00341467   1.20781e-9
    0.00343983   1.30935e-9
    0.00346411   1.41425e-9
     0.0034949   1.55758e-9
    0.00352451   1.70699e-9
     0.0035525   1.85934e-9
    0.00357894   2.01383e-9
    0.00360391   2.16965e-9
    0.00362747   2.32608e-9
    0.00366051   2.56156e-9
    0.00369043   2.79215e-9
    0.00371811   3.02092e-9
    0.00375223   3.32483e-9
    0.00378234   3.61432e-9
    0.00380888   3.88706e-9
    0.00384254   4.25785e-9
    0.00387094   4.59368e-9
    0.00390281   4.99714e-9
    0.00393724   5.46653e-9
     0.0039685   5.92438e-9
         0.004   6.41834e-9
    0.00403254   6.96472e-9
      0.004065   7.54849e-9
    0.00409729   8.16981e-9
    0.00412951   8.83201e-9
    0.00416155   9.53509e-9
     0.0041935   1.02827e-8
    0.00422528   1.10745e-8
    0.00425696   1.19145e-8
    0.00429913   1.31151e-8
    0.00434105   1.44078e-8
    0.00438272   1.57968e-8
    0.00442412   1.72867e-8
    0.00446526    1.8882e-8
    0.00450613   2.05869e-8
    0.00454673    2.2406e-8
    0.00458705   2.43436e-8
    0.00462708    2.6404e-8
    0.00466684   2.85917e-8
    0.00470631   3.09108e-8
    0.00474548   3.33654e-8
    0.00478436   3.59597e-8
    0.00482295   3.86975e-8
    0.00486124   4.15829e-8
    0.00489922   4.46195e-8
     0.0049557   4.94724e-8
    0.00501135   5.46722e-8
    0.00506644    6.0257e-8
    0.00512069   6.62076e-8
    0.00517438   7.25644e-8
    0.00522721   7.93025e-8
    0.00527947   8.64644e-8
    0.00533088    9.4019e-8
     0.0053817   1.02011e-7
    0.00543168   1.10403e-7
    0.00548106   1.19243e-7
    0.00551354   1.25365e-7
    0.00557805   1.38285e-7
    0.00564127   1.51978e-7
    0.00570319   1.66441e-7
    0.00576382   1.81666e-7
    0.00582318   1.97646e-7
    0.00588126   2.14366e-7
    0.00593808   2.31811e-7
    0.00599364   2.49964e-7
    0.00604797   2.68803e-7
    0.00612696   2.98217e-7
    0.00620364   3.29196e-7
    0.00627725   3.61316e-7
    0.00634863   3.94813e-7
    0.00641709   4.29226e-7
     0.0064834   4.64805e-7
    0.00656778   5.13443e-7
    0.00664926   5.64164e-7
    0.00672656    6.1589e-7
    0.00679985   6.68334e-7
    0.00686928   7.21222e-7
    0.00693501   7.74293e-7
    0.00702751   8.54133e-7
    0.00711162   9.32238e-7
    0.00718968   1.00965e-6
     0.0072863   1.11235e-6
    0.00737191   1.21002e-6
    0.00748102   1.34407e-6
    0.00757358   1.46663e-6
      0.007678   1.61515e-6
     0.0077872   1.78267e-6
    0.00786254   1.90589e-6
    0.00795392   2.06403e-6
    0.00805598   2.25244e-6
    0.00816556   2.46918e-6
    0.00826965   2.68954e-6
    0.00836843   2.91231e-6
    0.00846211   3.13635e-6
    0.00859418   3.47423e-6
    0.00871454   3.80561e-6
    0.00882645   4.13476e-6
    0.00896526   4.57241e-6
    0.00908851   4.98949e-6
    0.00919774   5.38249e-6
    0.00933699   5.91667e-6
    0.00945516   6.40025e-6
    0.00958853   6.98075e-6
     0.0097335   7.65528e-6
    0.00986585   8.31221e-6
          0.01    9.0197e-6
     0.0101629   9.94157e-6
      0.010325   1.09258e-5
     0.0104854   1.19682e-5
     0.0106449   1.30749e-5
     0.0108026   1.42406e-5
     0.0109592   1.54717e-5
     0.0110627    1.6326e-5
     0.0112694   1.81327e-5
     0.0114732   2.00515e-5
     0.0116742   2.20816e-5
     0.0118723   2.42213e-5
     0.0120673   2.64685e-5
     0.0122594   2.88207e-5
     0.0124483   3.12748e-5
