#ZVView-data-copy:   9-Jul-2018 12:08:10
#=======================================
#
#name:   ENDF/B-VIII.0: H-3(D,N`)HE-4-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  375
#data...
#            X            Y
#          MeV        barns
        0.0001            0
        0.0001            0
        0.0002   7.4327e-39
        0.0003   4.0555e-31
        0.0004   1.5862e-26
        0.0005   2.1029e-23
        0.0006   4.1704e-21
        0.0007   2.5141e-19
        0.0008   6.7828e-18
        0.0009   1.0321e-16
         0.001   1.0268e-15
    0.00141421  8.54012e-13
    0.00168179  1.59618e-11
    0.00183401  6.25711e-11
    0.00187417   8.7191e-11
    0.00188945  9.86464e-11
    0.00189934   1.0676e-10
    0.00190846  1.14768e-10
    0.00191967  1.25349e-10
    0.00192953  1.35375e-10
     0.0019382  1.44778e-10
    0.00194939  1.57772e-10
    0.00196113  1.72535e-10
    0.00197078  1.85571e-10
    0.00198117  2.00591e-10
     0.0019937  2.20165e-10
    0.00200635  2.41634e-10
      0.002019  2.64987e-10
    0.00203153  2.90092e-10
    0.00204394  3.17033e-10
    0.00205623  3.45898e-10
     0.0020684  3.76775e-10
    0.00208046  4.09753e-10
    0.00209239   4.4492e-10
     0.0021042  4.82366e-10
     0.0021159   5.2218e-10
    0.00212747   5.6445e-10
    0.00213892  6.09266e-10
    0.00215026  6.56714e-10
    0.00216148  7.06882e-10
    0.00217258  7.59856e-10
    0.00218356  8.15721e-10
    0.00219443  8.74559e-10
    0.00220517  9.36452e-10
    0.00221581   1.00148e-9
    0.00223156   1.10521e-9
      0.002247   1.21613e-9
    0.00226224   1.33508e-9
    0.00227717   1.46164e-9
     0.0022919    1.5967e-9
    0.00230633   1.73975e-9
    0.00232055    1.8917e-9
    0.00233448   2.05192e-9
    0.00234821   2.22139e-9
    0.00236166   2.39934e-9
    0.00237491   2.58681e-9
    0.00238788    2.7829e-9
    0.00240065   2.98869e-9
    0.00241743   3.27943e-9
     0.0024338   3.58685e-9
    0.00244976    3.9109e-9
    0.00246532   4.25149e-9
    0.00248049   4.60845e-9
    0.00249527   4.98154e-9
    0.00250968   5.37049e-9
    0.00252371   5.77493e-9
    0.00253738   6.19447e-9
     0.0025507   6.62866e-9
    0.00257007   7.30812e-9
    0.00258857   8.01387e-9
    0.00260644   8.75134e-9
     0.0026235   9.51055e-9
    0.00263995   1.02972e-8
    0.00265566   1.11006e-8
     0.0026708   1.19269e-8
    0.00269027   1.30686e-8
    0.00270865   1.42335e-8
      0.002726   1.54153e-8
    0.00274237    1.6608e-8
     0.0027578    1.7806e-8
    0.00277942   1.96108e-8
    0.00279897   2.13795e-8
    0.00281703   2.31356e-8
    0.00283858   2.53946e-8
    0.00285827   2.76252e-8
    0.00287562   2.97294e-8
    0.00289803   3.26549e-8
    0.00291058    3.4401e-8
    0.00293268   3.76732e-8
    0.00295565    4.1358e-8
    0.00297141    4.4065e-8
    0.00299044   4.75367e-8
    0.00301352   5.20681e-8
    0.00303348   5.62894e-8
    0.00305315   6.07381e-8
    0.00307244   6.53925e-8
    0.00309145   7.02785e-8
    0.00311644   7.71833e-8
    0.00314085   8.44857e-8
    0.00316467   9.21844e-8
    0.00318792   1.00277e-7
    0.00321061   1.08758e-7
    0.00323274   1.17623e-7
    0.00325433   1.26865e-7
    0.00327537   1.36473e-7
     0.0032959   1.46439e-7
     0.0033159   1.56751e-7
    0.00334502   1.72886e-7
    0.00337289   1.89639e-7
    0.00339981   2.07138e-7
    0.00342555   2.25145e-7
     0.0034504   2.43796e-7
    0.00347414   2.62835e-7
    0.00349704   2.82405e-7
    0.00352654   3.09433e-7
    0.00355441   3.36989e-7
    0.00358075   3.64925e-7
    0.00360561   3.93101e-7
    0.00362908   4.21381e-7
    0.00366198   4.63947e-7
    0.00369178   5.05621e-7
    0.00371934    5.4696e-7
    0.00375332    6.0187e-7
     0.0037833   6.54165e-7
    0.00380973   7.03428e-7
    0.00384324   7.70391e-7
    0.00387151   8.31033e-7
    0.00390324   9.03878e-7
    0.00393753   9.88613e-7
    0.00396864   1.07125e-6
         0.004    1.1604e-6
    0.00402799   1.24534e-6
    0.00406858   1.37785e-6
    0.00410788    1.5173e-6
     0.0041455   1.66179e-6
    0.00418188   1.81242e-6
    0.00421669   1.96712e-6
    0.00425032   2.12705e-6
    0.00427195   2.23558e-6
    0.00431418    2.4609e-6
    0.00435414   2.69145e-6
    0.00439194   2.92596e-6
    0.00442768    3.1632e-6
    0.00446145   3.40197e-6
    0.00450837   3.75865e-6
    0.00455185   4.11665e-6
    0.00459126   4.46527e-6
    0.00462772   4.80942e-6
    0.00467269   5.26419e-6
     0.0047124     5.695e-6
    0.00476386   6.29652e-6
    0.00479276   6.65685e-6
    0.00484375   7.33446e-6
     0.0048969   8.10074e-6
    0.00493348   8.66563e-6
    0.00497773   9.39229e-6
    0.00502857   1.02897e-5
    0.00508351   1.13387e-5
    0.00513645   1.24315e-5
    0.00518658   1.35449e-5
    0.00523402    1.4673e-5
