#ZVView-data-copy:  30-Mar-2021 21:02:43
#=======================================
#
#name:   ENDF/B-VIII.0: HE-3(T,D`)HE-4-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  254
#data...
#            X            Y
#          MeV        barns
         0.001            0 
         0.002   2.8141e-31 
         0.004   8.3636e-22 
         0.006   1.1911e-17 
         0.008   3.4018e-15 
          0.01   1.5693e-13 
         0.012   2.6071e-12 
         0.014   2.2862e-11 
     0.0149666  5.54462e-11 
     0.0154747  8.53351e-11 
     0.0156044  9.49331e-11 
     0.0157024  1.02801e-10 
     0.0157762  1.09108e-10 
     0.0158877  1.19268e-10 
         0.016   1.3033e-10 
     0.0161182  1.42938e-10 
     0.0162298  1.55811e-10 
     0.0163352  1.68882e-10 
     0.0164346  1.82083e-10 
     0.0165283  1.95351e-10 
     0.0166582  2.15142e-10 
     0.0167783  2.34975e-10 
     0.0168869  2.54265e-10 
     0.0169872  2.73288e-10 
     0.0171106  2.98402e-10 
     0.0172193  3.22172e-10 
     0.0173599  3.55334e-10 
     0.0174386  3.75187e-10 
     0.0175773  4.12505e-10 
     0.0177215  4.54686e-10 
     0.0178205  4.85774e-10 
       0.01794  5.25759e-10 
     0.0180594  5.68539e-10 
     0.0181749  6.12788e-10 
      0.018284  6.57239e-10 
     0.0184367  7.24217e-10 
      0.018575  7.89867e-10 
     0.0187027  8.55062e-10 
     0.0188552  9.38933e-10 
     0.0189947   1.02176e-9 
     0.0191175    1.0999e-9 
     0.0192763   1.20853e-9 
     0.0193653   1.27338e-9 
     0.0195221    1.3949e-9 
     0.0196851   1.53173e-9 
      0.019797   1.63225e-9 
     0.0199321   1.76117e-9 
     0.0200699    1.9015e-9 
     0.0202081   2.05186e-9 
     0.0203429   2.20826e-9 
     0.0204744   2.37052e-9 
     0.0206026   2.53847e-9 
     0.0207893   2.80133e-9 
     0.0209679   3.07438e-9 
     0.0211405   3.35969e-9 
     0.0213056   3.65339e-9 
     0.0214651   3.95766e-9 
     0.0216174   4.26835e-9 
     0.0217644   4.58778e-9 
     0.0219538   5.02905e-9 
     0.0221328   5.47907e-9 
     0.0223019   5.93541e-9 
     0.0224617   6.39575e-9 
     0.0226125   6.85788e-9 
      0.022824   7.55361e-9 
     0.0230156   8.23488e-9 
     0.0231928   8.91081e-9 
     0.0234113   9.80879e-9 
     0.0236043   1.06641e-8 
     0.0237744     1.147e-8 
     0.0239901   1.25655e-8 
     0.0241721   1.35578e-8 
     0.0243765   1.47497e-8 
     0.0245974   1.61365e-8 
     0.0247979    1.7489e-8 
         0.025    1.8948e-8 
     0.0252123   2.05886e-8 
     0.0254176   2.22863e-8 
     0.0255496   2.34394e-8 
     0.0258073   2.58353e-8 
     0.0260512   2.82897e-8 
      0.026282   3.07888e-8 
     0.0265003   3.33195e-8 
     0.0267065   3.58688e-8 
     0.0269931   3.96809e-8 
     0.0272588   4.35114e-8 
     0.0274997   4.72452e-8 
     0.0277225   5.09345e-8 
     0.0279975   5.58143e-8 
     0.0282403   6.04413e-8 
     0.0284545   6.47833e-8 
     0.0287317   7.07855e-8 
     0.0290437   7.80828e-8 
     0.0293689   8.63439e-8 
     0.0295928   9.24393e-8 
