#ZVView-data-copy:  30-Mar-2021 14:35:22
#=======================================
#
#name:   ENDF/B-VII.1: HE-3(T,N+P)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  259
#data...
#            X            Y
#          MeV        barns
         0.001            0 
         0.002   2.7129e-31 
         0.004   8.0819e-22 
         0.006   1.1537e-17 
         0.008   3.3025e-15 
          0.01    1.527e-13 
         0.012   2.5427e-12 
         0.014   2.2349e-11 
     0.0149666  5.42656e-11 
     0.0154747   8.3566e-11 
     0.0156044  9.29783e-11 
     0.0157024  1.00695e-10 
     0.0157762  1.06881e-10 
     0.0158877  1.16848e-10 
         0.016    1.277e-10 
     0.0161182  1.40074e-10 
     0.0162298  1.52711e-10 
     0.0163352  1.65544e-10 
     0.0164346  1.78506e-10 
     0.0165283  1.91535e-10 
     0.0166582  2.10972e-10 
     0.0167783  2.30454e-10 
     0.0168869  2.49405e-10 
     0.0169872  2.68097e-10 
     0.0171106  2.92775e-10 
     0.0172193  3.16136e-10 
     0.0173599  3.48734e-10 
     0.0174386  3.68251e-10 
     0.0175773  4.04941e-10 
     0.0177215   4.4642e-10 
     0.0178205  4.76994e-10 
       0.01794  5.16323e-10 
     0.0180594  5.58413e-10 
     0.0181749  6.01959e-10 
      0.018284   6.4571e-10 
     0.0184367  7.11644e-10 
      0.018575  7.76281e-10 
     0.0187027  8.40481e-10 
     0.0188552  9.23085e-10 
     0.0189947   1.00467e-9 
     0.0191175   1.08165e-9 
     0.0192763    1.1887e-9 
     0.0193653   1.25261e-9 
     0.0195221   1.37238e-9 
     0.0196851   1.50728e-9 
      0.019797   1.60639e-9 
     0.0199321   1.73351e-9 
     0.0200699   1.87195e-9 
     0.0202081   2.02035e-9 
     0.0203429   2.17474e-9 
     0.0204744   2.33495e-9 
     0.0206026    2.5008e-9 
     0.0207893   2.76043e-9 
     0.0209679   3.03019e-9 
     0.0211405   3.31212e-9 
     0.0213056   3.60241e-9 
     0.0214651    3.9032e-9 
     0.0216174    4.2104e-9 
     0.0217644    4.5263e-9 
     0.0219538   4.96279e-9 
     0.0221328   5.40802e-9 
     0.0223019    5.8596e-9 
     0.0224617   6.31524e-9 
     0.0226125   6.77272e-9 
      0.022824    7.4616e-9 
     0.0230156   8.13631e-9 
     0.0231928   8.80587e-9 
     0.0234113   9.69559e-9 
     0.0236043   1.05433e-8 
     0.0237744    1.1342e-8 
     0.0239901   1.24282e-8 
     0.0241721   1.34121e-8 
     0.0243765   1.45943e-8 
     0.0245974     1.597e-8 
     0.0247979    1.7312e-8 
         0.025     1.876e-8 
     0.0252123     2.039e-8 
     0.0254176   2.20772e-8 
     0.0256137   2.37985e-8 
     0.0258032   2.55667e-8 
     0.0260474   2.80069e-8 
     0.0262784   3.04926e-8 
     0.0264968   3.30106e-8 
     0.0267033   3.55481e-8 
     0.0268983   3.80928e-8 
     0.0271719   4.19194e-8 
       0.02742   4.56614e-8 
     0.0276496   4.93693e-8 
     0.0279331   5.42887e-8 
     0.0281834   5.89677e-8 
     0.0284043   6.33703e-8 
     0.0286847    6.9347e-8 
     0.0289214   7.47522e-8 
     0.0291874   8.12363e-8 
      0.029475   8.87674e-8 
     0.0297364    9.6101e-8 
          0.03      1.04e-7 
     0.0302904   1.13316e-7 
     0.0305653   1.22756e-7 
     0.0308252    1.3227e-7 
     0.0311867   1.46505e-7 
     0.0315221   1.60816e-7 
     0.0318264   1.74772e-7 
     0.0321082   1.88568e-7 
     0.0324562    2.0682e-7 
     0.0327638   2.24133e-7 
     0.0331548   2.47833e-7 
     0.0334857   2.69447e-7 
      0.033858   2.95581e-7 
     0.0342463   3.24995e-7 
      0.034675   3.60183e-7 
         0.035    3.8887e-7 
     0.0354317   4.29806e-7 
     0.0358324   4.70862e-7 
