#ZVView-data-copy:  30-Mar-2021 13:58:33
#=======================================
#
#name:   ENDF/B-VIII.0: H-3(T,2N)HE-4
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  298
#data...
#            X            Y
#          MeV        barns
        0.0001            0 
        0.0005   3.0969e-31 
         0.001   9.2179e-22 
         0.002   3.7603e-15 
    0.00282843  1.20049e-12 
    0.00336359  1.47423e-11 
    0.00366802   4.7469e-11 
    0.00383041   8.3483e-11 
    0.00387212  9.59414e-11 
    0.00388788  1.01057e-10 
    0.00391561  1.10645e-10 
    0.00394442  1.21443e-10 
    0.00396418  1.29375e-10 
    0.00398802   1.3955e-10 
    0.00401269  1.50807e-10 
    0.00403799  1.63174e-10 
    0.00406306  1.76292e-10 
    0.00408788  1.90186e-10 
    0.00411246  2.04883e-10 
    0.00413681  2.20407e-10 
    0.00416091  2.36783e-10 
    0.00418478  2.54035e-10 
     0.0042084  2.72187e-10 
    0.00423179  2.91262e-10 
    0.00426647  3.21695e-10 
    0.00430052  3.54246e-10 
    0.00433413  3.89154e-10 
    0.00436712    4.263e-10 
    0.00439967  4.65938e-10 
    0.00443161  5.07917e-10 
    0.00446311  5.52506e-10 
    0.00449401  5.99514e-10 
    0.00452447  6.49227e-10 
    0.00455435  7.01416e-10 
    0.00458379  7.56382e-10 
    0.00461266  8.13856e-10 
     0.0046411  8.74156e-10 
    0.00467849  9.59312e-10 
    0.00471501    1.0493e-9 
    0.00475065   1.14412e-9 
    0.00478544   1.24371e-9 
    0.00481938   1.34802e-9 
     0.0048525   1.45698e-9 
    0.00488479    1.5705e-9 
    0.00491628   1.68846e-9 
    0.00494698   1.81073e-9 
     0.0049917   2.00246e-9 
    0.00503448   2.20203e-9 
    0.00507584   2.41097e-9 
    0.00511537   2.62645e-9 
    0.00515356   2.85009e-9 
    0.00519004   3.07884e-9 
    0.00522525   3.31439e-9 
     0.0052706   3.64039e-9 
    0.00531347   3.97348e-9 
    0.00535398   4.31186e-9 
    0.00539224    4.6538e-9 
    0.00542835    4.9976e-9 
    0.00547847    5.5106e-9 
    0.00552487   6.02491e-9 
    0.00556687   6.52525e-9 
    0.00560569   7.01878e-9 
    0.00565352   7.67041e-9 
    0.00569571   8.28722e-9 
    0.00575032   9.14778e-9 
    0.00578095   9.66296e-9 
    0.00583495   1.06312e-8 
    0.00589117   1.17255e-8 
    0.00592981   1.25318e-8 
    0.00597651   1.35687e-8 
    0.00602703    1.4771e-8 
     0.0060806   1.61432e-8 
    0.00613296   1.75867e-8 
     0.0061841   1.91008e-8 
    0.00623406   2.06843e-8 
    0.00628284   2.23358e-8 
    0.00633046   2.40539e-8 
    0.00637693   2.58367e-8 
    0.00642228    2.7682e-8 
     0.0064884   3.05701e-8 
    0.00655174     3.357e-8 
    0.00661303   3.67043e-8 
     0.0066717   3.99301e-8 
    0.00672842   4.32713e-8 
    0.00678266   4.66822e-8 
    0.00683507   5.01879e-8 
    0.00690263   5.50291e-8 
    0.00696658   5.99638e-8 
    0.00702706   6.49655e-8 
    0.00708424   7.00084e-8 
    0.00713828   7.50683e-8 
    0.00721413   8.26807e-8 
    0.00728293   9.01291e-8 
    0.00734663   9.75134e-8 
    0.00742529   1.07315e-7 
    0.00749481   1.16642e-7 
    0.00755617   1.25421e-7 
    0.00763407   1.37344e-7 
    0.00769988   1.48131e-7 
    0.00777384   1.61076e-7 
    0.00785387   1.76116e-7 
     0.0079266   1.90766e-7 
         0.008    2.0655e-7 
    0.00808324   2.25722e-7 
    0.00816384    2.4565e-7 
    0.00824103   2.66059e-7 
     0.0083157   2.87099e-7 
    0.00841211   3.16249e-7 
    0.00850352   3.46064e-7 
    0.00859011   3.76378e-7 
    0.00867209   4.07029e-7 
    0.00874966   4.37862e-7 
     0.0088576   4.83888e-7 
